regime,type_label,size,level,n_events,n_interarrivals,T,mean_tau
R1,buy_cancel,7,5,55,54,23399.933403768002,405.5083456766297
R1,buy_cancel,8,0,0,0,23399.933403768002,
R1,buy_cancel,8,1,1221,1220,23399.933403768002,19.12450120705
R1,buy_cancel,8,2,673,672,23399.933403768002,34.69860692145982
R1,buy_cancel,8,3,257,256,23399.933403768002,87.7482640410586
R1,buy_cancel,8,4,138,137,23399.933403768002,163.62932533970803
R1,buy_cancel,8,5,504,503,23399.933403768002,44.69721991257457
R1,buy_cancel,9,0,0,0,23399.933403768002,
R1,buy_cancel,9,1,560,559,23399.933403768002,41.85523384577818
R1,buy_cancel,9,2,157,156,23399.933403768002,149.47604418559612
R1,buy_cancel,9,3,79,78,23399.933403768002,287.30774180841024
R1,buy_cancel,9,4,41,40,23399.933403768002,560.0800255899501
R1,buy_cancel,9,5,13,12,23399.933403768002,1660.5932344313333
R1,buy_cancel,10,0,0,0,23399.933403768002,
R1,buy_cancel,10,1,7028,7027,23399.933403768002,3.312251432195531
R1,buy_cancel,10,2,2770,2769,23399.933403768002,8.419596351903575
R1,buy_cancel,10,3,1280,1279,23399.933403768002,18.28997605170993
R1,buy_cancel,10,4,764,763,23399.933403768002,30.557910998509826
R1,buy_cancel,10,5,784,783,23399.933403768002,29.739705213363987
R2,sell_submit,1,0,0,0,23397.673190644004,
R2,sell_submit,1,1,0,0,23397.673190644004,
R2,sell_submit,1,2,5275,5274,23397.673190644004,4.436268589037164
R2,sell_submit,1,3,236,235,23397.673190644004,99.55626115317874
R2,sell_submit,1,4,88,87,23397.673190644004,268.66704931219533
R2,sell_submit,1,5,86,85,23397.673190644004,274.8002129964
R2,sell_submit,2,0,0,0,23397.673190644004,
R2,sell_submit,2,1,0,0,23397.673190644004,
R2,sell_submit,2,2,4537,4536,23397.673190644004,5.158042472387125
R2,sell_submit,2,3,136,135,23397.673190644004,172.58217047469628
R2,sell_submit,2,4,39,38,23397.673190644004,613.9827526143948
R2,sell_submit,2,5,20,19,23397.673190644004,1158.0492103076842
R2,sell_submit,3,0,0,0,23397.673190644004,
R2,sell_submit,3,1,0,0,23397.673190644004,
R2,sell_submit,3,2,1395,1394,23397.673190644004,16.768363981146344
R2,sell_submit,3,3,51,50,23397.673190644004,455.4032840681399
R2,sell_submit,3,4,55,54,23397.673190644004,430.6542754754445
R2,sell_submit,3,5,44,43,23397.673190644004,410.51897591213947
R2,sell_submit,4,0,0,0,23397.673190644004,
R2,sell_submit,4,1,0,0,23397.673190644004,
R2,sell_submit,4,2,2792,2791,23397.673190644004,8.380862140201003
R2,sell_submit,4,3,30,29,23397.673190644004,771.8781504558965
R2,sell_submit,4,4,12,11,23397.673190644004,2002.8807343111819
R2,sell_submit,4,5,2,1,23397.673190644004,7944.9409159620045
R2,sell_submit,5,0,0,0,23397.673190644004,
R2,sell_submit,5,1,0,0,23397.673190644004,
R2,sell_submit,5,2,3130,3129,23397.673190644004,7.475579600247683
R2,sell_submit,5,3,156,155,23397.673190644004,150.91009686666456
R2,sell_submit,5,4,102,101,23397.673190644004,231.4135463981188
R2,sell_submit,5,5,69,68,23397.673190644004,294.34070430594113
R2,sell_submit,6,0,0,0,23397.673190644004,
R2,sell_submit,6,1,0,0,23397.673190644004,
R2,sell_submit,6,2,1533,1532,23397.673190644004,15.238682463101176
R2,sell_submit,6,3,26,25,23397.673190644004,782.18336194348
R2,sell_submit,6,4,15,14,23397.673190644004,829.7520992940002
R2,sell_submit,6,5,3,2,23397.673190644004,10091.576556153497
R2,sell_submit,7,0,0,0,23397.673190644004,
R2,sell_submit,7,1,0,0,23397.673190644004,
R2,sell_submit,7,2,1041,1040,23397.673190644004,22.413350048862505
R2,sell_submit,7,3,6,5,23397.673190644004,2221.5098791085998
R2,sell_submit,7,4,6,5,23397.673190644004,4347.2119131944
R2,sell_submit,7,5,3,2,23397.673190644004,5370.0227132069995
R2,sell_submit,8,0,0,0,23397.673190644004,
R2,sell_submit,8,1,0,0,23397.673190644004,
R2,sell_submit,8,2,2276,2275,23397.673190644004,10.278529934705494
R2,sell_submit,8,3,1,0,23397.673190644004,
R2,sell_submit,8,4,0,0,23397.673190644004,
R2,sell_submit,8,5,1,0,23397.673190644004,
R2,sell_submit,9,0,0,0,23397.673190644004,
R2,sell_submit,9,1,0,0,23397.673190644004,
R2,sell_submit,9,2,623,622,23397.673190644004,37.481000967983924
R2,sell_submit,9,3,4,3,23397.673190644004,6231.341360475667
R2,sell_submit,9,4,0,0,23397.673190644004,
R2,sell_submit,9,5,0,0,23397.673190644004,
R2,sell_submit,10,0,0,0,23397.673190644004,
R2,sell_submit,10,1,0,0,23397.673190644004,
R2,sell_submit,10,2,5772,5771,23397.673190644004,4.0434149214690684
R2,sell_submit,10,3,52,51,23397.673190644004,454.61505132335293
R2,sell_submit,10,4,28,27,23397.673190644004,846.8564880437409
R2,sell_submit,10,5,28,27,23397.673190644004,864.1930435255927
R2,buy_submit,1,0,0,0,23397.673190644004,
R2,buy_submit,1,1,0,0,23397.673190644004,
R2,buy_submit,1,2,4403,4402,23397.673190644004,5.314869443393457
R2,buy_submit,1,3,379,378,23397.673190644004,61.893705592497355
R2,buy_submit,1,4,102,101,23397.673190644004,227.69818851028714
R2,buy_submit,1,5,153,152,23397.673190644004,151.38288987365132
R2,buy_submit,2,0,0,0,23397.673190644004,
R2,buy_submit,2,1,0,0,23397.673190644004,
R2,buy_submit,2,2,7766,7765,23397.673190644004,3.013014207836961
R2,buy_submit,2,3,177,176,23397.673190644004,132.91808692952273
R2,buy_submit,2,4,39,38,23397.673190644004,613.7811665053683
R2,buy_submit,2,5,21,20,23397.673190644004,1148.8163797139
R2,buy_submit,3,0,0,0,23397.673190644004,
R2,buy_submit,3,1,0,0,23397.673190644004,
R2,buy_submit,3,2,3130,3129,23397.673190644004,7.469891856490253
R2,buy_submit,3,3,94,93,23397.673190644004,251.54732845678495
R2,buy_submit,3,4,78,77,23397.673190644004,301.862262886091
R2,buy_submit,3,5,63,62,23397.673190644004,372.88457647367744
R2,buy_submit,4,0,0,0,23397.673190644004,
R2,buy_submit,4,1,0,0,23397.673190644004,
R2,buy_submit,4,2,2948,2947,23397.673190644004,7.9316540966355635
R2,buy_submit,4,3,50,49,23397.673190644004,476.9828529894081
R2,buy_submit,4,4,39,38,23397.673190644004,610.4794941392632
R2,buy_submit,4,5,0,0,23397.673190644004,
R2,buy_submit,5,0,0,0,23397.673190644004,
R2,buy_submit,5,1,0,0,23397.673190644004,
R2,buy_submit,5,2,3021,3020,23397.673190644004,7.739662392604966
R2,buy_submit,5,3,154,153,23397.673190644004,152.4198432301961
R2,buy_submit,5,4,101,100,23397.673190644004,220.33159536082
R2,buy_submit,5,5,52,51,23397.673190644004,418.43118235152946
R2,buy_submit,6,0,0,0,23397.673190644004,
R2,buy_submit,6,1,0,0,23397.673190644004,
R2,buy_submit,6,2,2275,2274,23397.673190644004,10.279499276970977
R2,buy_submit,6,3,17,16,23397.673190644004,1378.4625286425626
R2,buy_submit,6,4,10,9,23397.673190644004,1824.489792108556
R2,buy_submit,6,5,2,1,23397.673190644004,15074.374731012998
R2,buy_submit,7,0,0,0,23397.673190644004,
R2,buy_submit,7,1,0,0,23397.673190644004,
