regime,type_idx,type_label,depth,xi_bin,mu,alpha,beta,branching_ratio,n_events,log_lik,converged,fallback
R1,1,buy_submit,7,0,0.06032470394104779,0.10884017831936768,432.7255800316826,0.00025152240436398236,1584,-5039.75487039268,True,False
R1,1,buy_submit,7,1,0.0043177783955481615,0.31732552986949486,38.69722918241483,0.008200213208383845,148,-621.1278721258851,True,False
R1,1,buy_submit,7,2,0.001,0.35995907559084733,127.7248900223583,0.002818237506627223,25,-114.78736731770981,True,False
R1,1,buy_submit,7,3,0.001,0.0,1.0,0.0,0,-23.399933403768003,False,True
R1,1,buy_submit,7,4,0.001,0.0,1.0,0.0,0,-23.399933403768003,False,True
R1,1,buy_submit,7,5,0.001,0.0,1.0,0.0,0,-23.399933403768003,False,True
R1,1,buy_submit,8,0,0.08830473011112351,0.11542132704133533,4553.677852454206,2.5346836289512437e-05,2336,-5890.1875867013505,True,False
R1,1,buy_submit,8,1,0.009641073997290134,0.39839816772065395,34.1504399973778,0.011665974662441961,375,-1150.8463898174023,True,False
R1,1,buy_submit,8,2,0.001624522259634473,0.3966058876904811,71.81450335764464,0.005522643326172394,63,-242.79781086464294,True,False
R1,1,buy_submit,8,3,0.001,0.0,1.0,0.0,3,-44.12319923771442,False,True
R1,1,buy_submit,8,4,0.001,0.0,1.0,0.0,0,-23.399933403768003,False,True
R1,1,buy_submit,8,5,0.001,0.0,1.0,0.0,0,-23.399933403768003,False,True
R1,1,buy_submit,9,0,0.025820434817037063,0.25500377179307554,3.7103466476467943,0.06872774864709907,811,-3113.8464462400143,True,False
R1,1,buy_submit,9,1,0.0022265948021971214,0.3487217711975058,19.511091248878962,0.017873001912055642,80,-366.20666084783915,True,False
R1,1,buy_submit,9,2,0.001,0.0,1.0,0.0,8,-78.6619756276251,False,True
R1,1,buy_submit,9,3,0.001,0.0,1.0,0.0,0,-23.399933403768003,False,True
R1,1,buy_submit,9,4,0.001,0.0,1.0,0.0,0,-23.399933403768003,False,True
R1,1,buy_submit,9,5,0.001,0.0,1.0,0.0,0,-23.399933403768003,False,True
